,file_path,modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor
0,/content/ravdess/Actor_09/03-02-05-02-01-02-09.wav,03,02,05,02,01,02,09
1,/content/ravdess/Actor_09/03-02-02-01-02-02-09.wav,03,02,02,01,02,02,09
2,/content/ravdess/Actor_09/03-01-08-01-01-02-09.wav,03,01,08,01,01,02,09
3,/content/ravdess/Actor_09/03-01-08-01-02-01-09.wav,03,01,08,01,02,01,09
4,/content/ravdess/Actor_09/03-01-06-01-01-02-09.wav,03,01,06,01,01,02,09
5,/content/ravdess/Actor_09/03-01-05-01-01-02-09.wav,03,01,05,01,01,02,09
6,/content/ravdess/Actor_09/03-01-05-02-02-02-09.wav,03,01,05,02,02,02,09
7,/content/ravdess/Actor_09/03-02-05-01-01-01-09.wav,03,02,05,01,01,01,09
8,/content/ravdess/Actor_09/03-02-02-01-01-02-09.wav,03,02,02,01,01,02,09
9,/content/ravdess/Actor_09/03-01-05-02-01-01-09.wav,03,01,05,02,01,01,09
10,/content/ravdess/Actor_09/03-01-04-01-01-01-09.wav,03,01,04,01,01,01,09
11,/content/ravdess/Actor_09/03-01-07-02-02-02-09.wav,03,01,07,02,02,02,09
12,/content/ravdess/Actor_09/03-01-02-01-01-02-09.wav,03,01,02,01,01,02,09
13,/content/ravdess/Actor_09/03-02-02-02-01-02-09.wav,03,02,02,02,01,02,09
14,/content/ravdess/Actor_09/03-01-02-01-02-02-09.wav,03,01,02,01,02,02,09
15,/content/ravdess/Actor_09/03-01-07-02-01-02-09.wav,03,01,07,02,01,02,09
16,/content/ravdess/Actor_09/03-01-03-02-01-01-09.wav,03,01,03,02,01,01,09
17,/content/ravdess/Actor_09/03-01-05-02-02-01-09.wav,03,01,05,02,02,01,09
18,/content/ravdess/Actor_09/03-02-04-01-01-02-09.wav,03,02,04,01,01,02,09
19,/content/ravdess/Actor_09/03-01-07-01-01-01-09.wav,03,01,07,01,01,01,09
20,/content/ravdess/Actor_09/03-01-02-02-02-01-09.wav,03,01,02,02,02,01,09
21,/content/ravdess/Actor_09/03-01-04-01-01-02-09.wav,03,01,04,01,01,02,09
22,/content/ravdess/Actor_09/03-01-02-01-02-01-09.wav,03,01,02,01,02,01,09
23,/content/ravdess/Actor_09/03-02-05-01-02-01-09.wav,03,02,05,01,02,01,09
24,/content/ravdess/Actor_09/03-01-04-01-02-02-09.wav,03,01,04,01,02,02,09
25,/content/ravdess/Actor_09/03-02-06-01-02-01-09.wav,03,02,06,01,02,01,09
26,/content/ravdess/Actor_09/03-01-05-01-02-02-09.wav,03,01,05,01,02,02,09
27,/content/ravdess/Actor_09/03-01-08-02-01-02-09.wav,03,01,08,02,01,02,09
